FID,OBJECTID,ID,Inentario_Movimiento,F35DOV_TIP,Tipo_Movimiento,Subtipo_Movimiento,Subtipo_nombre,Etiqueta,Representación_mapa,ESRI_OID,x,y
1,-7.58397098089E+56,1752,31553,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,130,-8430070.42735836,258331.82058464
2,-7.58397098089E+56,1753,31534,67,Caida,20,Caida de detritos,Caida,cd,131,-8442006.35051312,251832.989531075
3,-7.58397098089E+56,1754,31551,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,132,-8442964.9350048,256351.1963302
4,-7.58397098089E+56,1755,31540,67,Caida,15,Caida de roca,Caida,cr,133,-8442624.79217811,255639.415530152
5,-7.58397098089E+56,1757,31538,67,Caida,15,Caida de roca,Caida,cr,134,-8442501.10386738,255391.840375088
6,-7.58397098088E+56,1758,30097,67,Caida,20,Caida de detritos,Caida,cd,135,-8492594.87472435,178319.943867579
7,-7.58397098088E+56,1760,30093,67,Caida,15,Caida de roca,Caida,cr,136,-8488142.09509262,183795.357657587
8,-7.58397098088E+56,1762,30090,72,Reptación,8,Reptacion de suelos,Reptación,lr,137,-8484709.74405228,187352.902324489
9,-7.58397098089E+56,11408,31549,67,Caida,20,Caida de detritos,Caida,cd,5889,-8434059.37574134,232245.209234387
10,-7.58397098089E+56,1764,31546,67,Caida,20,Caida de detritos,Caida,cd,138,-8443119.54542105,254463.436910116
11,-7.58397098088E+56,1765,29319,68,Volcamiento,10,Volcamiento de roca,Volcamiento,vr,139,-8541018.85321942,136716.987514593
12,-7.58397098089E+56,1766,31541,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,140,-8413681.72457186,236670.054851109
13,-7.58397098089E+56,1767,31535,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,141,-8411919.16600474,245736.704616016
14,-7.58397098089E+56,1768,31556,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,142,-8429761.20652586,258393.715541526
15,-7.58397098089E+56,1769,31559,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,143,-8453973.19577339,262231.247478046
16,-7.58397098088E+56,1632,29916,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,36,-8085351.07083141,737241.605035134
17,-7.58397098088E+56,1634,29913,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,37,-8084670.78506671,737926.444670283
18,-7.58397098088E+56,1636,29912,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,38,-8084485.25265627,738580.163106651
19,-7.58397098088E+56,1637,29909,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,39,-8086124.12291266,738611.292775298
20,-7.58397098088E+56,1638,30125,67,Caida,15,Caida de roca,Caida,cr,40,-8077094.87533845,683320.85423553
21,-7.58397098088E+56,1640,30119,71,Flujo,16,Avalancha de detritos,Avalancha,ar,41,-8071590.7448985,685871.084892726
22,-7.58397098088E+56,1641,30073,71,Flujo,5,Flujo de detritos,Flujo,fd,42,-8072271.0306632,682885.459861274
23,-7.58397098088E+56,1642,30070,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,43,-8071467.05658776,686804.123486062
24,-7.58397098088E+56,1643,29919,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,44,-8109068.30683601,744214.91471982
25,-7.58397098088E+56,1644,29918,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,45,-8112655.26818127,744650.775908945
26,-7.58397098088E+56,1646,30136,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,46,-8076167.21284097,686959.631341191
27,-7.58397098088E+56,1647,30127,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,47,-8081702.26538644,685964.388160959
28,-7.58397098088E+56,1648,29971,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,48,-8066705.05612354,807296.103495072
29,-7.58397098088E+56,1650,29970,71,Flujo,17,Flujo de tierra,Flujo,ft,49,-8067076.12116706,807233.763270853
30,-7.58397098088E+56,1651,29969,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,50,-8064076.67926995,816928.585623395
31,-7.58397098088E+56,1653,29967,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,51,-8064354.97799694,808324.727376979
32,-7.58397098088E+56,1655,29927,67,Caida,15,Caida de roca,Caida,cr,52,-8088412.35682823,719034.175300136
33,-7.58397098088E+56,1656,29924,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,53,-8093576.34433017,735280.520100799
34,-7.58397098088E+56,1657,29923,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,54,-8091133.49999835,731732.065964018
35,-7.58397098088E+56,2643,31005,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2174,-8370442.90899491,540335.753214545
36,-7.58397098088E+56,1658,29922,71,Flujo,16,Avalancha de detritos,Avalancha,ar,55,-8085969.51249641,733319.504369464
37,-7.58397098088E+56,1659,29921,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,56,-8087299.1619203,736089.848318084
38,-7.58397098088E+56,1660,29920,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,57,-8094318.4743059,699183.827835453
39,-7.58397098086E+56,6155,1534,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1451,-8343395.83495585,572205.151316851
40,-7.58397098088E+56,2645,31004,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2175,-8368880.98521959,540625.776806785
41,-7.58397098086E+56,6156,1410,72,Reptación,9,Solifluxion,Reptación,ls,1452,-8113601.79309857,765029.004773999
42,-7.58397098088E+56,1661,29915,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,58,-8040637.74210366,722799.673062887
43,-7.58397098086E+56,7224,581,68,Volcamiento,1,Volcamiento flexural de roca,Volcamiento,vf,3173,-8304553.99087635,571503.812010571
44,-7.58397098089E+56,12438,35340,71,Flujo,5,Flujo de detritos,Flujo,fd,6643,-8133474.17756712,578451.381450089
45,-7.58397098088E+56,2647,30959,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2176,-8422208.47596461,566739.916222018
46,-7.58397098086E+56,6157,1536,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1453,-8376019.24860368,472736.098295809
47,-7.58397098088E+56,1663,29941,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,59,-8077775.16110315,723328.729984133
48,-7.58397098086E+56,7225,580,71,Flujo,17,Flujo de tierra,Flujo,ft,3174,-8303700.54140983,571396.391914704
49,-7.58397098088E+56,2176,30967,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1869,-8421352.09512195,546340.006013196
50,-7.58397098088E+56,2178,30965,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1870,-8417633.80149047,561915.207502818
51,-7.58397098088E+56,10854,30964,67,Caida,20,Caida de detritos,Caida,cd,5509,-8412989.99761253,539040.715388135
52,-7.58397098088E+56,2180,30961,67,Caida,20,Caida de detritos,Caida,cd,1871,-8342153.39811911,668500.13392077
53,-7.58397098088E+56,2181,30958,67,Caida,20,Caida de detritos,Caida,cd,1872,-8428372.01353086,564341.155776001
54,-7.58397098088E+56,2183,30957,71,Flujo,5,Flujo de detritos,Flujo,fd,1873,-8412142.63364862,563192.765121541
55,-7.58397098088E+56,2337,30249,67,Caida,20,Caida de detritos,Caida,cd,1969,-8408702.19346616,438782.409238521
56,-7.58397098088E+56,2338,30242,67,Caida,15,Caida de roca,Caida,cr,1970,-8454181.99406873,445868.648953743
57,-7.58397098088E+56,2340,30207,67,Caida,15,Caida de roca,Caida,cr,1971,-8438184.69061187,452685.204655149
58,-7.58397098088E+56,2341,30668,67,Caida,15,Caida de roca,Caida,cr,1972,-8394217.20236111,449300.378453443
59,-7.58397098088E+56,2343,30701,67,Caida,20,Caida de detritos,Caida,cd,1973,-8419546.04770331,617852.694706963
60,-7.58397098088E+56,10860,30715,67,Caida,15,Caida de roca,Caida,cr,5513,-8435668.4495549,622074.537594808
61,-7.58397098088E+56,10862,30714,67,Caida,20,Caida de detritos,Caida,cd,5514,-8440674.1530974,625925.736766831
62,-7.58397098089E+56,2486,31305,67,Caida,20,Caida de detritos,Caida,cd,2066,-8057687.90530445,658371.840880546
63,-7.58397098089E+56,2487,31296,67,Caida,15,Caida de roca,Caida,cr,2067,-8057807.12847909,658448.501383627
64,-7.58397098088E+56,2489,30901,67,Caida,23,Caida de Tierras,Caida,ct,2068,-8356568.64132928,622861.613969029
65,-7.58397098088E+56,2491,30861,72,Reptación,8,Reptacion de suelos,Reptación,lr,2069,-8351250.04352241,604408.818428049
66,-7.58397098088E+56,2493,30857,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2070,-8414179.85602739,666164.836344298
67,-7.58397098088E+56,2495,30856,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2071,-8416987.50746624,667901.986023429
68,-7.58397098089E+56,2616,31411,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2158,-8071939.85517809,589827.540482124
69,-7.58397098089E+56,2617,31235,67,Caida,20,Caida de detritos,Caida,cd,2159,-8397004.29609564,491378.9367799
70,-7.58397098088E+56,2618,31144,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,2160,-8403772.12528376,588861.444921265
71,-7.58397098088E+56,2620,31143,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2161,-8393878.29640528,580308.156319609
72,-7.58397098088E+56,2622,31142,67,Caida,20,Caida de detritos,Caida,cd,2162,-8403881.58952392,588224.220533309
73,-7.58397098088E+56,2623,31140,67,Caida,15,Caida de roca,Caida,cr,2163,-8377226.60744436,569077.175249953
74,-7.58397098088E+56,2625,31136,71,Flujo,6,Flujo de lodo,Flujo,fl,2164,-8407450.30682916,561803.741444373
75,-7.58397098088E+56,2185,30930,67,Caida,20,Caida de detritos,Caida,cd,1874,-8413627.96961427,585491.674925858
76,-7.58397098088E+56,2187,30929,71,Flujo,5,Flujo de detritos,Flujo,fd,1875,-8417035.01394949,586084.158319716
77,-7.58397098088E+56,2189,30750,67,Caida,23,Caida de Tierras,Caida,ct,1876,-8394938.61455509,657769.440573106
78,-7.58397098088E+56,10870,31092,67,Caida,20,Caida de detritos,Caida,cd,5518,-8360162.22006168,526305.226898106
79,-7.58397098088E+56,2190,30876,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1877,-8361732.62883123,593289.881894802
80,-7.58397098088E+56,2192,30545,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1878,-8400127.14177086,442461.262790058
81,-7.58397098088E+56,2193,30384,67,Caida,15,Caida de roca,Caida,cr,1879,-8407386.61972397,446088.261487705
82,-7.58397098088E+56,2344,30709,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1974,-8446796.16849358,632457.111017521
83,-7.58397098088E+56,2345,30706,67,Caida,20,Caida de detritos,Caida,cd,1975,-8446791.82703344,632860.617367389
84,-7.58397098089E+56,10874,31377,67,Caida,15,Caida de roca,Caida,cr,5520,-8026795.52209491,645379.861389857
85,-7.58397098088E+56,10858,30720,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5512,-8424344.029076,607564.120803421
86,-7.58397098088E+56,2347,30718,67,Caida,15,Caida de roca,Caida,cr,1976,-8436035.46991605,613663.777517643
87,-7.58397098088E+56,2349,30717,67,Caida,15,Caida de roca,Caida,cr,5666,-8437852.98324223,615581.10672936
88,-7.58397098088E+56,2351,30851,67,Caida,20,Caida de detritos,Caida,cd,1977,-8348188.75752559,604843.67417831
89,-7.58397098088E+56,2496,30824,71,Flujo,6,Flujo de lodo,Flujo,fl,2072,-8434633.54007887,661189.68963957
90,-7.58397098088E+56,2497,30896,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2073,-8246888.02090371,599749.825142006
91,-7.58397098089E+56,2499,31330,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2074,-8033410.01491836,631838.935680571
92,-7.58397098089E+56,2500,31319,67,Caida,15,Caida de roca,Caida,cr,2075,-8069700.05759748,639460.492701757
93,-7.58397098089E+56,2502,31326,67,Caida,20,Caida de detritos,Caida,cd,2076,-8063262.4514449,627569.704606091
94,-7.58397098089E+56,2503,31321,67,Caida,15,Caida de roca,Caida,cr,2077,-8067800.05652862,635626.835003546
95,-7.58397098088E+56,2505,31095,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2078,-8359205.05801044,524941.07511186
96,-7.58397098088E+56,2052,30727,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2785,-8365448.2837455,696890.116235867
97,-7.58397098088E+56,2054,30915,69,Deslizamiento,81,Deslizamiento traslacional en cuña,Deslizamiento,dtc,2786,-8339283.19826213,621743.116312479
98,-7.58397098089E+56,2055,31256,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2787,-8386055.91285663,494002.865321632
99,-7.58397098089E+56,2056,31252,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2788,-8381606.13885115,492829.394799473
100,-7.58397098089E+56,2058,31250,67,Caida,20,Caida de detritos,Caida,cd,2789,-8373615.84844099,475241.368351349
101,-7.58397098089E+56,2059,31249,67,Caida,20,Caida de detritos,Caida,cd,2790,-8373025.29854233,476566.075787895
102,-7.58397098089E+56,2061,31248,67,Caida,20,Caida de detritos,Caida,cd,2791,-8382952.65941179,489799.327411692
103,-7.58397098088E+56,2195,30241,67,Caida,20,Caida de detritos,Caida,cd,1880,-8404852.65415504,432053.303250224
104,-7.58397098088E+56,2197,30674,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1881,-8387013.28519038,452328.705337481
105,-7.58397098088E+56,2199,30667,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1882,-8394065.57285819,458798.798478458
106,-7.58397098088E+56,2200,30684,67,Caida,15,Caida de roca,Caida,cr,1883,-8387055.78452294,443181.227871212
107,-7.58397098088E+56,2202,30744,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1884,-8449717.97116843,598651.81534205
108,-7.58397098088E+56,2203,30743,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1885,-8449866.13741068,599051.873398882
109,-7.58397098088E+56,2205,30747,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1886,-8447216.84484929,596703.438681622
110,-7.58397098088E+56,2352,31085,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1978,-8356469.64123258,520134.677183465
111,-7.58397098089E+56,2354,31368,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5669,-8025343.13669854,650675.159311684
112,-7.58397098088E+56,2355,30831,67,Caida,20,Caida de detritos,Caida,cd,1979,-8438256.12054425,669392.906048824
113,-7.58397098089E+56,2357,31398,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1980,-8026939.26027046,631588.418174452
114,-7.58397098089E+56,2359,31352,69,Deslizamiento,18,Deslizamiento en cuña,Deslizamiento,dc,1981,-8030428.99027441,650657.703028831
115,-7.58397098088E+56,2361,30839,71,Flujo,5,Flujo de detritos,Flujo,fd,1982,-8453180.12967222,663285.939611137
116,-7.58397098088E+56,2507,30850,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2079,-8443640.81674781,655641.595017621
117,-7.58397098089E+56,2509,31331,67,Caida,20,Caida de detritos,Caida,cd,2080,-8036148.02911391,630988.087299308
118,-7.58397098089E+56,2510,31300,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2081,-8067355.3351629,609340.035968235
119,-7.58397098088E+56,2511,31112,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2082,-8371435.86382465,515360.935349547
120,-7.58397098089E+56,2512,31333,67,Caida,15,Caida de roca,Caida,cr,2083,-8072879.88649552,627311.249126859
121,-7.58397098089E+56,2513,31327,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2084,-8035425.67693816,645729.406273596
122,-7.58397098088E+56,10816,30820,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5496,-8425070.82735221,666588.392690593
123,-7.58397098089E+56,2062,31243,67,Caida,20,Caida de detritos,Caida,cd,2792,-8381461.75747159,489889.873900489
124,-7.58397098089E+56,2064,31239,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2793,-8379154.77234439,490009.56065588
125,-7.58397098088E+56,2066,31228,67,Caida,20,Caida de detritos,Caida,cd,2794,-8379121.04253868,491483.664558746
126,-7.58397098088E+56,2067,31227,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2795,-8375561.04522311,492492.094889642
127,-7.58397098088E+56,2068,31042,67,Caida,20,Caida de detritos,Caida,cd,2796,-8382914.25418746,489791.685783796
128,-7.58397098088E+56,11737,31032,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6122,-8381429.99434732,489884.725699147
129,-7.58397098088E+56,2206,30898,72,Reptación,8,Reptacion de suelos,Reptación,lr,1887,-8366154.48635745,599749.825142006
130,-7.58397098088E+56,2208,30197,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1888,-8452033.52789642,467057.478853012
131,-7.58397098088E+56,2209,30271,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1889,-8452883.19250026,465921.94585076
132,-7.58397098088E+56,2211,30171,67,Caida,20,Caida de detritos,Caida,cd,1890,-8456687.53609811,460797.961452373
133,-7.58397098088E+56,2212,30167,67,Caida,20,Caida de detritos,Caida,cd,1891,-8457211.97457571,460897.480583714
134,-7.58397098089E+56,2214,31419,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1892,-8070104.62969641,589151.489603537
135,-7.58397098088E+56,2362,30921,67,Caida,20,Caida de detritos,Caida,cd,1983,-8345158.39352297,622581.987766156
136,-7.58397098089E+56,2364,31247,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1984,-8390988.59081317,485678.617144174
137,-7.58397098088E+56,2365,31034,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1985,-8390953.99516446,485698.030529246
138,-7.58397098088E+56,2366,30874,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1986,-8361918.16135299,596022.860417007
139,-7.58397098088E+56,2368,30679,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1987,-8385412.59751934,467857.449371249
140,-7.58397098089E+56,2370,31439,67,Caida,20,Caida de detritos,Caida,cd,1988,-8117276.44948965,512356.756479213
141,-7.58397098089E+56,2516,31334,67,Caida,20,Caida de detritos,Caida,cd,2086,-8076135.8826382,623719.415172343
142,-7.58397098088E+56,2517,31105,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2087,-8358476.62033209,549453.375539465
143,-7.58397098088E+56,2519,31093,67,Caida,20,Caida de detritos,Caida,cd,2088,-8358276.57920713,526707.678348604
144,-7.58397098088E+56,10864,30859,67,Caida,15,Caida de roca,Caida,cr,5515,-8347013.71840663,610869.821726963
145,-7.58397098088E+56,2520,31101,67,Caida,20,Caida de detritos,Caida,cd,2089,-8351901.86856685,545027.65887023
146,-7.58397098089E+56,2521,31304,67,Caida,15,Caida de roca,Caida,cr,2090,-8045855.75662803,612858.233922873
147,-7.58397098089E+56,2522,31323,67,Caida,20,Caida de detritos,Caida,cd,2091,-8069613.78499211,633971.587322969
148,-7.58397098089E+56,2523,31320,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2092,-8069941.6208925,626864.662488553
149,-7.58397098088E+56,2069,31029,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2797,-8379141.76032044,489977.765718532
150,-7.58397098088E+56,2071,31009,67,Caida,20,Caida de detritos,Caida,cd,2798,-8379079.91622073,491497.434708395
151,-7.58397098088E+56,2072,31008,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2799,-8375956.78601288,493575.394541831
152,-7.58397098088E+56,2073,30925,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2800,-8361802.40143903,671671.907234382
153,-7.58397098088E+56,10832,30817,67,Caida,15,Caida de roca,Caida,cr,5506,-8359290.57965453,685437.750949374
154,-7.58397098088E+56,2074,30814,71,Flujo,5,Flujo de detritos,Flujo,fd,2801,-8358374.62674295,686269.258522616
155,-7.58397098089E+56,2215,31393,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1893,-8160472.55545153,512480.744894979
156,-7.58397098089E+56,2217,31376,67,Caida,20,Caida de detritos,Caida,cd,1894,-8172742.94425027,490226.15839359
157,-7.58397098089E+56,2218,31279,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1895,-8065584.90998132,662260.942396786
158,-7.58397098088E+56,2220,31145,67,Caida,15,Caida de roca,Caida,cr,1896,-8374384.39820543,590450.805023729
159,-7.58397098088E+56,2222,30918,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1897,-8341535.12966724,668385.851971783
160,-7.58397098088E+56,2224,30916,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1898,-8341108.99865648,667908.243044972
161,-7.58397098089E+56,2372,31437,67,Caida,20,Caida de detritos,Caida,cd,1989,-8115684.35813233,513238.800949078
162,-7.58397098089E+56,2373,31435,67,Caida,23,Caida de Tierras,Caida,ct,1990,-8106918.83878828,539019.712542041
163,-7.58397098089E+56,2374,31433,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1991,-8105303.14769891,541905.424269012
164,-7.58397098089E+56,2376,31432,67,Caida,20,Caida de detritos,Caida,cd,1992,-8106528.88661204,538670.93208839
165,-7.58397098089E+56,2377,31430,67,Caida,15,Caida de roca,Caida,cr,1993,-8099695.4283502,537187.124928998
166,-7.58397098089E+56,2379,31425,67,Caida,20,Caida de detritos,Caida,cd,1994,-8106846.59243875,550558.868182946
167,-7.58397098088E+56,2524,30860,67,Caida,15,Caida de roca,Caida,cr,2093,-8413120.52761918,662357.376647548
168,-7.58397098088E+56,2525,30840,67,Caida,15,Caida de roca,Caida,cr,2094,-8450736.95049138,660336.584166572
169,-7.58397098089E+56,2527,31347,67,Caida,20,Caida de detritos,Caida,cd,2095,-7897222.86808616,643621.969685707
170,-7.58397098088E+56,2529,30830,67,Caida,15,Caida de roca,Caida,cr,2096,-8436644.15253524,669035.342975563
171,-7.58397098088E+56,2531,31116,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2097,-8307181.60084996,540118.347970704
172,-7.58397098089E+56,2533,31316,67,Caida,15,Caida de roca,Caida,cr,2098,-8052990.18572358,613819.10428683
173,-7.58397098088E+56,2075,30812,71,Flujo,5,Flujo de detritos,Flujo,fd,2802,-8357972.19464991,686616.581568774
174,-7.58397098088E+56,2076,30807,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2803,-8319426.12456502,690809.856356106
175,-7.58397098088E+56,2078,30802,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2804,-8325096.6307782,691194.808803016
176,-7.58397098088E+56,2080,30800,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2805,-8351759.82923806,698765.950691563
177,-7.58397098088E+56,2081,30799,71,Flujo,17,Flujo de tierra,Flujo,ft,2806,-8352624.07435748,702007.952713068
178,-7.58397098088E+56,2083,30777,67,Caida,23,Caida de Tierras,Caida,ct,2807,-8365028.13871772,686328.708563376
179,-7.58397098088E+56,2084,30775,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2808,-8337393.3036672,696477.787805685
180,-7.58397098088E+56,2226,30811,72,Reptación,8,Reptacion de suelos,Reptación,lr,1899,-8387065.9842826,638107.2441585
181,-7.58397098088E+56,2227,30808,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1900,-8393721.6879155,662122.974038156
182,-7.58397098088E+56,2228,30806,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1901,-8393408.31865085,661831.8257214
183,-7.58397098088E+56,2230,30803,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1902,-8403315.40623728,667324.354579458
184,-7.58397098088E+56,2232,30795,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1903,-8412375.26967707,662369.3663335
185,-7.58397098088E+56,2234,30792,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,1904,-8407601.78894508,662914.771530271
186,-7.58397098088E+56,2235,30788,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1905,-8410667.17661985,659048.698876315
187,-7.58397098089E+56,2380,31423,67,Caida,20,Caida de detritos,Caida,cd,1995,-8111613.29303452,550549.035549871
188,-7.58397098089E+56,2381,31414,67,Caida,20,Caida de detritos,Caida,cd,1996,-8122431.28408043,548956.228330544
189,-7.58397098089E+56,2383,31412,67,Caida,15,Caida de roca,Caida,cr,1997,-8118966.50199887,548241.419655811
190,-7.58397098088E+56,2385,30804,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,1998,-8391241.46372318,663196.10035416
191,-7.58397098088E+56,2387,30681,67,Caida,23,Caida de Tierras,Caida,ct,1999,-8381663.35706942,468184.717228217
192,-7.58397098088E+56,2388,30677,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2000,-8388976.37969759,467556.859615963
193,-7.58397098088E+56,10865,30877,67,Caida,15,Caida de roca,Caida,cr,5516,-8363495.18750966,606614.187177939
194,-7.58397098088E+56,2534,31107,67,Caida,20,Caida de detritos,Caida,cd,2099,-8360573.65689965,517666.258563949
195,-7.58397098088E+56,2535,30746,67,Caida,20,Caida de detritos,Caida,cd,2100,-8448199.90727248,599437.621933872
196,-7.58397098088E+56,2536,31086,69,Deslizamiento,81,Deslizamiento traslacional en cuña,Deslizamiento,dtc,2101,-8371435.86382465,515360.935349547
197,-7.58397098088E+56,2537,31087,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2102,-8362305.45421792,517815.136600455
198,-7.58397098088E+56,2539,30945,67,Caida,20,Caida de detritos,Caida,cd,2103,-8366407.57745365,637386.841022618
199,-7.58397098088E+56,2085,30773,72,Reptación,8,Reptacion de suelos,Reptación,lr,2809,-8338117.74141362,696259.35980369
200,-7.58397098088E+56,2086,30769,71,Flujo,5,Flujo de detritos,Flujo,fd,2810,-8340712.42675539,701696.774060602
201,-7.58397098088E+56,2087,30767,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2811,-8342635.0714332,704041.334493862
202,-7.58397098088E+56,2089,30763,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2812,-8358962.81277222,710492.271761192
203,-7.58397098088E+56,2090,30731,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2813,-8360798.41284399,700682.870431864
204,-7.58397098088E+56,2091,30730,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2814,-8362744.0498947,700634.508318058
