FID,OBJECTID,ID,Inentario_Movimiento,F35DOV_TIP,Tipo_Movimiento,Subtipo_Movimiento,Subtipo_nombre,Etiqueta,Representación_mapa,ESRI_OID,x,y
4486,-7.58397098088E+56,3001,27430,71,Flujo,5,Flujo de detritos,Flujo,fd,2421,-8140454.21877408,854978.065107109
4487,-7.58397098089E+56,3002,31362,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,2422,-8337768.01620516,366380.606747821
4488,-7.58397098089E+56,3003,31363,71,Flujo,5,Flujo de detritos,Flujo,fd,2423,-8331954.66504403,372172.730439831
4489,-7.58397098089E+56,3004,31365,71,Flujo,5,Flujo de detritos,Flujo,fd,2424,-8325182.72939121,374464.885093283
4490,-7.58397098089E+56,3005,31353,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2425,-8347137.40671737,351917.092175126
4491,-7.58397098089E+56,3006,31360,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2426,-8340736.53599675,352474.538423181
4492,-7.58397098089E+56,3007,31359,71,Flujo,5,Flujo de detritos,Flujo,fd,2427,-8344014.27662085,352040.968874526
4493,-7.58397098089E+56,3009,31361,69,Deslizamiento,82,Deslizamiento traslacional planar,Deslizamiento,dtp,2428,-8338386.45787015,384966.0538243
4494,-7.58397098088E+56,3215,26209,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2508,-8198649.57481908,464860.66400176
4495,-7.58397098088E+56,3216,27991,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,2509,-8205421.51058322,467620.085398156
4496,-7.58397098088E+56,3218,27989,71,Flujo,5,Flujo de detritos,Flujo,fd,2510,-8201865.47123214,466565.914170046
4497,-7.58397098088E+56,3221,26233,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,2511,-8407157.16554051,565283.025074146
4498,-7.58397098088E+56,3222,26235,71,Flujo,5,Flujo de detritos,Flujo,fd,2512,-8411362.56855077,559260.81589518
4499,-7.58397098088E+56,3376,26199,71,Flujo,16,Avalancha de detritos,Avalancha,ar,2575,-8214790.90098411,469728.466248973
4500,-7.58397098088E+56,3377,27974,71,Flujo,5,Flujo de detritos,Flujo,fd,2576,-8216460.693346,468674.269489227
4501,-7.58397098088E+56,3378,27973,71,Flujo,5,Flujo de detritos,Flujo,fd,2577,-8216182.39461902,468364.214012849
4502,-7.58397098087E+56,11733,15868,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6119,-8415104.14031229,327639.758094569
4503,-7.58397098087E+56,7809,16094,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,3442,-8329866.18760947,1230667.55907539
4504,-7.58397098087E+56,7810,16093,72,Reptación,8,Reptacion de suelos,Reptación,lr,3443,-8329771.5660423,1230722.99833987
4505,-7.58397098087E+56,7864,16092,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,3542,-8330456.18091067,1230478.56345855
4506,-7.58397098087E+56,7813,16091,72,Reptación,8,Reptacion de suelos,Reptación,lr,3444,-8330414.43610162,1230509.43254119
4507,-7.58397098087E+56,7814,16119,67,Caida,15,Caida de roca,Caida,cr,3445,-8331337.46058385,1232231.23015394
4508,-7.58397098087E+56,7797,16099,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,3431,-8328483.97022772,1228090.05609167
4509,-7.58397098087E+56,7798,16086,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,3432,-8330314.86749628,1231363.3897955
4510,-7.58397098087E+56,11516,16032,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5965,-8401887.73376786,578934.821300125
4511,-7.58397098087E+56,11418,17651,67,Caida,23,Caida de Tierras,Caida,ct,5898,-8232323.72078405,491094.254520003
4512,-7.58397098086E+56,7817,1556,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,3446,-8368937.47362727,566586.868361586
4513,-7.58397098086E+56,7818,1009,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,3447,-8640742.56368462,121716.696959218
4514,-7.58397098087E+56,11424,17473,67,Caida,23,Caida de Tierras,Caida,ct,5904,-8419003.7238571,553270.142496451
4515,-7.58397098087E+56,11419,17418,67,Caida,23,Caida de Tierras,Caida,ct,5899,-8518994.60121152,118962.28622334
4516,-7.58397098086E+56,7580,491,71,Flujo,6,Flujo de lodo,Flujo,fl,3305,-8184061.46479617,522528.152818225
4517,-7.58397098086E+56,7581,489,71,Flujo,17,Flujo de tierra,Flujo,ft,3306,-8183559.59946228,522780.083651603
4518,-7.58397098086E+56,7582,488,71,Flujo,17,Flujo de tierra,Flujo,ft,3307,-8185059.62960072,528841.561199169
4519,-7.58397098086E+56,7583,499,71,Flujo,6,Flujo de lodo,Flujo,fl,3308,-8230459.4285588,546796.72722201
